cluster_label,category,priority_score,request_count,reasoning,issue_keys,feedback_text,run_id,run_timestamp
SDK Onboarding & Documentation Quality,UX Issue,5,5,"The core problem is the high difficulty of integrating and onboarding new users to the SDK, driven primarily by poor documentation quality and lack of specific guides (e.g., Gradle).",[],PRDFBK-2665 Gradle Documentation for SDK | PRDFBK-2376 Improve SDK Documentation | PRDFBK-2352 Difficulty in onboarding to SDK | PRDFBK-1244 DIfficulty in integrating the SDK | PRDFBK-173 Difficulty in onboarding to SDK,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Support for Cucumber/Playwright BDD Frameworks,SDK Coverage,4,9,"Customers require official SDK support to enable observability/instrumentation (O11y) for their BDD test frameworks (Cucumber/JBehave), especially when integrated with testing tools like Playwright and Selenium across multiple languages (Java, JS, TS).",[],PRDFBK-4676 SDK integration with Playwright+Cucumber+Typescript framework | PRDFBK-4009 Playwright cucumber SDK support | PRDFBK-3631 Playwright Cucumber Support: SDK and Accessibility | PRDFBK-3455 Support for Java+playwright+cucumber frameworks on TO | PRDFBK-2895 CucumberJS with Playwright support | PRDFBK-1590 O11y support for Cucumber Java & Selenium | PRDFBK-1498 cucumber-js/playwright sdk support | PRDFBK-1140 Support Java Cucumber O11y | PRDFBK-288 JBehave Cucumber integration,run_20251031_043902,2025-10-31T04:49:37.850060
SDK Framework Coverage Expansion,SDK Coverage,4,7,"Users require SDK support for key testing frameworks including Testcafe, MSTest, KoTest, and JUnit to enable integration.",[],PRDFBK-4806 KoTest SDK Support | PRDFBK-3494 SDK support for testcafe | PRDFBK-2990 SDK support for Testcafe | PRDFBK-2302 Requires SDK support for MSTest | PRDFBK-1402 Support for Junit in Java SDK | PRDFBK-979 Requires SDK support for MSTest | PRDFBK-978 Requires SDK support for MSTest,run_20251031_043902,2025-10-31T04:49:37.850060
Specflow SDK Integration and Support,SDK Coverage,4,7,"Users require comprehensive and functional SDK support for Specflow, specifically integrating with .NET runners like Nunit, MSTest, and Playwright, as current implementations are reported as failing or incomplete.",[],PRDFBK-2675 Support for Specflow + Nunit | PRDFBK-2674 Support for Specflow + Nunit | PRDFBK-2673 Support for Specflow + Nunit | PRDFBK-2660 MSTest + Specflow SDK Support | PRDFBK-2658 Support via SDK for PW and Specflow | PRDFBK-1637 MSTest + Specflow SDK Support | PRDFBK-847 specflow Dot net SDK not working,run_20251031_043902,2025-10-31T04:49:37.850060
Espresso & XCUITest Observability Support,Feature Request,4,6,"Customers require SDK support to enable Test Observability features for major mobile testing frameworks, specifically Espresso (Android) and XCUITest (iOS).",[],PRDFBK-3022 Need support for Test Observability with Espresso/Xcuitest | PRDFBK-2657 Espresso and XCUITest | PRDFBK-2287 Support Espresso/XCUITest Observability | PRDFBK-2252 Espresso and XCUITest support for Test Observability | PRDFBK-906 Espresso/XCUITest Support for Observability | PRDFBK-861 SDK support for XCUIT and Espresso,run_20251031_043902,2025-10-31T04:49:37.850060
Dynamic Test Distribution and Device Selection,Feature Request,4,5,"Customers require dynamic, equitable distribution of test workloads across multiple devices/platforms, including options for running selective tests.","['PRDFBK-5078', 'PRDFBK-4912', 'PRDFBK-4910', 'PRDFBK-4909', 'PRDFBK-2257']",PRDFBK-5078 Running selective tests on Selected devices. | PRDFBK-4912 Equal distribution of tests across multiple devices | PRDFBK-4910 Equal distribution of tests across multiple devices | PRDFBK-4909 Equal distribution of tests across multiple devices | PRDFBK-2257 Distribute tests across multiple platform dynamically using SDK.,run_20251031_043902,2025-10-31T04:49:37.850060
Playwright Framework Integration and Coverage,SDK Coverage,4,4,"Users are requesting expanded support and configuration for the Playwright testing framework, specifically needing integration with Nx.dev/Playwright-NX and C# language bindings (Reqnroll).",[],PRDFBK-5967 Support for Playwright C# with Reqnroll | PRDFBK-3873 Support with Playwright-NX | PRDFBK-871 testMatch for Playwright | PRDFBK-687 Nx.dev support with playwright,run_20251031_043902,2025-10-31T04:49:37.850060
C# SDK Enhancements,SDK Coverage,4,3,"Customers require expanded C# SDK coverage, specifically adding M1/M2 chip and .NET Framework support, along with mandatory release notes for improved documentation.",[],PRDFBK-3591 Support for C# .NET Framework with SDK | PRDFBK-2654 Provide release notes for C# SDK | PRDFBK-1028 M1/M2 support for C# sdk,run_20251031_043902,2025-10-31T04:49:37.850060
Parallel Execution for Multi-Platform SDK Configuration,Feature Request,4,3,Customers require enhanced parallel execution capabilities and fine-grained configuration control when running tests across multiple platforms defined in a single config file.,[],PRDFBK-3376 SDK does not support parallelisation for multiple platforms using single yml file | PRDFBK-3236 Multiple platforms with specific parallel limit | PRDFBK-2662 Parallel execution by default if multiple platforms are defined,run_20251031_043902,2025-10-31T04:49:37.850060
Dynamic Device Configuration in SDK,Feature Request,4,3,"Customers require dynamic and flexible methods for passing device identifiers (mapping, app URLs) when using the SDK.",[],PRDFBK-2927 SDK to device mapping | PRDFBK-1237 support for device level app URL with sdk | PRDFBK-184 Dynamic way to pass Devices in SDK,run_20251031_043902,2025-10-31T04:49:37.850060
